,Clean Ingredients
175,"['chilli', 'cherry tomato', 'garlic clove', 'egg', 'unsalted butter', 'leek', 'spinach', 'extra virgin olive oil', 'smoked paprika', 'sugar', 'filo', 'coriander', 'water', 'spring onion', 'tamarind paste']"
176,"['chilli', 'white wine vinegar', 'garlic clove', 'egg', 'mint', 'butter', 'flatbread', 'yogurt', 'pepper flake', 'lemon', 'coriander', 'dill', 'paprika', 'green olive']"
177,"['garlic clove', 'onion', 'pimento', 'cod', 'vegetable oil', 'red pepper', 'green pepper', 'dried thyme', 'tomato', 'spring onion', 'scotch']"
178,"['mixed dried fruit', 'egg', 'ground almond', 'icing sugar', 'butter', 'baking powder', 'plain flour', 'lemon', 'milk', 'caster sugar', 'marzipan']"
179,"['chilli', 'dal', 'sunflower oil', 'yogurt', 'ground cumin', 'bicarbonate of soda', 'buttermilk', 'milk', 'date', 'coriander', 'caster sugar', 'black peppercorn', 'ginger', 'urad dal', 'chilli powder']"
180,"['maple syrup', 'icing sugar', 'sweet potato', 'caramel', 'butter', 'ground cinnamon', 'double cream', 'mixed spice', 'vanilla pod', 'biscuit', 'cream cheese']"
181,"['unsalted butter', 'egg', 'ground almond', 'icing sugar', 'food colouring', 'baking powder', 'yogurt', 'muffin', 'milk', 'sunflower', 'caster sugar', 'fondant', 'flour', 'vanilla extract']"
182,"['egg', 'onion', 'japanese rice', 'skinless chicken thigh', 'soy sauce', 'mirin', 'sake', 'dashi', 'caster sugar', 'parsley', 'togarashi']"
183,"['prawn', 'egg', 'walnut', 'goat cheese', 'cucumber', 'white bread', 'lemon', 'mayonnaise', 'roasted red pepper', 'wholemeal', 'spring onion', 'cream cheese']"
184,"['egg', 'icing sugar', 'butter', 'milk', 'lemon', 'caster sugar', 'flour', 'yoghurt', 'cream cheese']"
185,"['egg', 'lettuce leaf', 'butter', 'mayonnaise', 'bread']"
186,"['icing sugar', 'butter', 'lemon curd', 'golden syrup', 'lemon', 'oat', 'brown sugar']"
187,"['shortcrust pastry', 'egg yolk', 'double cream', 'milk', 'nutmeg', 'caster sugar', 'vanilla bean paste']"
188,"['egg', 'icing sugar', 'food colouring', 'butter', 'icing', 'yogurt', 'lemon', 'poppy seed', 'caster sugar', 'flour']"
189,"['granulated sugar', 'water', 'lemon']"
